mode,global_family,global_bb,global_m,global_map,local_family,local_bb,local_m,local_map,sem_family,sem_bb,sem_map,top_k,precision,recall,f3,total_time
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,20,0.06855022855771539,0.6978661274056137,0.3327994376004352,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,20,0.3473176377194234,0.15416623578865749,0.1580806772922129,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,20,0.234629790144496,0.3261689683952623,0.2898513457572391,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,30,0.04817109345704396,0.7344537445461338,0.2788221478281622,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,30,0.3394419613575458,0.18406002221295384,0.18432988207315257,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,30,0.177203672080549,0.3684859050369459,0.30059272020147654,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,40,0.037326225999450964,0.7539404910883617,0.2393149144311402,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,40,0.31934624042984433,0.207707444733562,0.20247039622168145,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,40,0.14117309227895167,0.3997654911323503,0.3019603254304281,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,50,0.03074117116985956,0.772857711902307,0.21119732866135021,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,50,0.29229590702217584,0.2232023927127537,0.21326389743894383,1737.3854269981384
