mode,global_family,global_bb,global_m,global_map,global_time,local_family,local_bb,local_m,local_map,local_time,sem_family,sem_bb,sem_map,sem_time,top_k,precision,recall,f3,total_time
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,10,0.3758397108843537,0.20847307726067754,0.2106163264492062,4120.807265996933
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,50,0.027386398315450387,0.7348306011586665,0.19109384200401355,4120.807265996933
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,50,0.2773886827458256,0.1329650301527689,0.1350254126635096,4120.807265996933
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,50,0.15250757593350048,0.34978927779789604,0.28228039267278315,4120.807265996933
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,100,0.014792600643624622,0.7883191099601528,0.12083814778516198,4120.807265996933
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,100,0.23919028527388916,0.17953167280898372,0.1732864458388338,4120.807265996933
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,100,0.08255571481337788,0.42531320246895116,0.26804108594097253,4120.807265996933
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,SigLIP,google/siglip-base-patch16-224,0.3403609361722992,253.72395634651184,10,0.09199157532784494,0.5103016617883644,0.32091979826814354,1448.5069761276245
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,SigLIP,google/siglip-base-patch16-224,0.3403609361722992,253.72395634651184,10,0.20528950216450215,0.06009984386846495,0.06359989028543289,1448.5069761276245
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,SigLIP,google/siglip-base-patch16-224,0.3403609361722992,253.72395634651184,10,0.3647717609771181,0.18783341941883766,0.19097679158053738,1448.5069761276245
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,SigLIP,google/siglip-base-patch16-224,0.3403609361722992,253.72395634651184,50,0.024798983090019874,0.6725407713811312,0.17343488467456694,1448.5069761276245
